"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1698","5/12/2016","Capital Float","Consumer Internet","Online Lending Platform","Bengaluru","Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures","Private Equity","25000000.0"
"1699","5/12/2016","Life Circle","Healthcare","Senior Healthcare Services","Hyderabad","GROUPE SOS","Private Equity","150000.0"
"1700","5/12/2016","Dream Wallets","Consumer Internet","Online Crowdfunding platform","Jaipur","Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal","Seed Funding",""
"1701","5/12/2016","ShabdNagari","Consumer Internet","Hindi social networking portal","Kanpur","ah! Ventures","Seed Funding",""
"1702","5/12/2016","Galleri5","Consumer Internet","Visual Content Discovery platform","Bengaluru","Phanindra Sama, Raghunandan G,","Seed Funding",""
"1703","5/12/2016","Derbii","Logistics","Carpooling Services","Gurugram","Anurag Chauhan","Seed Funding",""
"1704","5/13/2016","StayZilla","Consumer Internet","Budget Room Aggregator Booking platform","Chennai","Matrix Partners, Nexus Ventures","Private Equity","13500000.0"
"1705","5/13/2016","WoW Express","Logistics","E-Commerce Logistics Solutions","Mumbai","Undisclosed Investors & Tamarind Family Private Trust","Private Equity","2200000.0"
"1706","5/16/2016","Smartivity","E-Commerce","Smart Learning products","New Delhi","S Chand, AdvantEdge Partners","Private Equity","1000000.0"
"1707","5/16/2016","BedBathMore","Consumer Internet","Home Decor eMarketplace","Mumbai","Kinnevik Group, Rocket Internet","Private Equity",""
"1708","5/17/2016","Murgency","Consumer Internet","Medical Emergency Response App","Mumbai","Rata Tata","Private Equity",""
"1709","5/17/2016","Crownit","Consumer Internet","Mobile customer rewards management platform","Gurugram","Undisclosed investors, Accel Partners, Helion Venture Partners","Private Equity",""
"1710","5/17/2016","Blinge","E-Commerce","Apparel Rental platform","Mumbai","Anupam Mittal, Anuj Srivastava, Ankit Nagori","Seed Funding",""
"1711","5/18/2016","TheSmartQ","Consumer Internet","Food Ordering Mobile App","Bengaluru","YourNest Angel Fund","Seed Funding","250000.0"
"1712","5/18/2016","PurpleHealth","Consumer Internet","Online health-on-demand platform","Trivandrum","Katabole Technology Venture","Seed Funding","100000.0"
"1713","5/18/2016","Fundamentor","Education","Aptitude Development Program","Pune","Subramanya SV","Seed Funding",""
"1714","5/18/2016","EduPristine","Education","Online Certification Courses","Mumbai","Kaizen Management Advisors, DeVry Inc","Private Equity","10000000.0"
"1715","5/18/2016","BhiveWorkspace","Reality","Co-Working Spaces","Bengaluru","Blume Ventures","Private Equity","1000000.0"
"1716","5/18/2016","Parentlane","Consumer Internet","Parenting & Child Care app","Bengaluru","Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary","Seed Funding",""
"1717","5/19/2016","Appie","Consumer Internet","Location-based offline retail discovery platform","Mumbai","Undisclosed investors","Seed Funding","1000000.0"
"1718","5/19/2016","Niki.ai","Technology","Artificial Intelligence Platform","Bengaluru","Ratan Tata","Private Equity",""
"1719","5/19/2016","TaxiVaxi","Consumer Internet","Cab Aggregating Platform","New Delhi","Undisclosed HNIs","Seed Funding","500000.0"
"1720","5/19/2016","Veqta","Consumer Internet","On Demand Digital Sports Network","New Delhi","Chatsworth Management, ITW Digital","Seed Funding","500000.0"
"1721","5/20/2016","i2ifunding","Consumer Internet","Online Peer to Peer Funding","Noida","Undisclosed Investors","Seed Funding","300000.0"
"1722","5/23/2016","EduRev","Consumer Internet","Online Learning Platform","Gurugram","Pradeep Reddy Kamasan","Seed Funding",""
"1723","5/23/2016","Hoppingo","Consumer Internet","Fashion Discovery platform","New Delhi","vCommission","Seed Funding","89000.0"
"1724","5/24/2016","Eatonomist","Consumer Internet","Food Delivery Platform","Gurugram","MCube Capital Advisors Pvt Ltd","Seed Funding",""
"1725","5/24/2016","Goalwise","Consumer Internet","Online investment platform","Bengaluru","Undisclosed HNIs","Seed Funding","1000000.0"
